row_type,case_index,contribution_group,source,herb_id,adr_id,feature,display_name,name_source,node_type,node_id,path_features,path_display_features,path_text,score_drop,masked_score,drop_class,case_count,occurrence_count,mean_score_drop,max_score_drop,positive_drop_count,near_zero_drop_count,negative_drop_count
aggregate,,pathway,,,,path:1,,,,,target:15721,Target #15721,,,,,1,1,0.0011743903,0.0011743903,1,0,0
aggregate,,pathway,,,,path:2,,,,,compound:821;target:11486,Compound #821;Target #11486,,,,,1,1,0.0003195405,0.0003195405,1,0,0
aggregate,,pathway,,,,path:1,,,,,compound:761;target:7802,Compound #761;Target #7802,,,,,2,2,0.0003143549,0.0003178716,2,0,0
aggregate,,pathway,,,,path:1,,,,,compound:821;target:469,Compound #821;Target #469,,,,,1,1,0.0003153086,0.0003153086,1,0,0
aggregate,,pathway,,,,path:6,,,,,compound:761;target:2432,Compound #761;Target #2432,,,,,1,1,0.0003102422,0.0003102422,1,0,0
aggregate,,pathway,,,,path:4,,,,,compound:761;target:19336,Compound #761;Target #19336,,,,,1,1,0.0002995729,0.0002995729,1,0,0
aggregate,,pathway,,,,path:1,,,,,compound:821;target:19336,Compound #821;Target #19336,,,,,1,1,0.0002631545,0.0002631545,1,0,0
aggregate,,pathway,,,,path:1,,,,,compound:821;target:2586,Compound #821;Target #2586,,,,,2,2,0.0002096295,0.0002143979,2,0,0
aggregate,,pathway,,,,path:2,,,,,compound:821;target:1774,Compound #821;Target #1774,,,,,1,1,0.0002136827,0.0002136827,1,0,0
aggregate,,pathway,,,,path:2,,,,,compound:1073;target:15692,Compound #1073;Target #15692,,,,,1,1,0.0001240373,0.0001240373,1,0,0
aggregate,,pathway,,,,path:4,,,,,compound:965;target:15692,Compound #965;Target #15692,,,,,1,1,0.0001021624,0.0001021624,1,0,0
aggregate,,pathway,,,,path:5,,,,,compound:1023;target:1782,Compound #1023;Target #1782,,,,,1,1,9.7096e-05,9.7096e-05,0,1,0
aggregate,,pathway,,,,path:2,,,,,compound:480;target:11486,Compound #480;Target #11486,,,,,1,1,4.56572e-05,4.56572e-05,0,1,0
aggregate,,pathway,,,,path:1,,,,,compound:480;target:7213,Compound #480;Target #7213,,,,,2,2,4.43757e-05,4.44651e-05,0,2,0
aggregate,,pathway,,,,path:2,,,,,compound:480;target:1933,Compound #480;Target #1933,,,,,1,1,3.78489e-05,3.78489e-05,0,1,0
aggregate,,pathway,,,,path:2,,,,,compound:480;target:13438,Compound #480;Target #13438,,,,,1,1,3.76105e-05,3.76105e-05,0,1,0
aggregate,,pathway,,,,path:1,,,,,compound:480;target:19336,Compound #480;Target #19336,,,,,1,1,3.74913e-05,3.74913e-05,0,1,0
aggregate,,pathway,,,,path:2,,,,,compound:480;target:2432,Compound #480;Target #2432,,,,,1,1,3.52263e-05,3.52263e-05,0,1,0
aggregate,,pathway,,,,path:1,,,,,compound:480;target:7938,Compound #480;Target #7938,,,,,1,1,3.36766e-05,3.36766e-05,0,1,0
aggregate,,pathway,,,,path:2,,,,,compound:480;target:2586,Compound #480;Target #2586,,,,,1,1,3.35574e-05,3.35574e-05,0,1,0
aggregate,,pathway,,,,path:1,,,,,compound:480;target:17098,Compound #480;Target #17098,,,,,1,1,3.29614e-05,3.29614e-05,0,1,0
aggregate,,pathway,,,,path:2,,,,,compound:1073;target:20703,Compound #1073;Target #20703,,,,,1,1,2.91467e-05,2.91467e-05,0,1,0
aggregate,,pathway,,,,path:1,,,,,compound:1073;target:9880,Compound #1073;Target #9880,,,,,1,1,2.84314e-05,2.84314e-05,0,1,0
aggregate,,pathway,,,,path:1,,,,,compound:1073;target:7260,Compound #1073;Target #7260,,,,,1,1,2.46763e-05,2.46763e-05,0,1,0
aggregate,,pathway,,,,path:3,,,,,compound:1073;target:19382,Compound #1073;Target #19382,,,,,1,1,2.43783e-05,2.43783e-05,0,1,0
aggregate,,pathway,,,,path:2,,,,,compound:1073;target:7213,Compound #1073;Target #7213,,,,,1,1,1.75238e-05,1.75238e-05,0,1,0
aggregate,,pathway,,,,path:1,,,,,compound:1073;target:2586,Compound #1073;Target #2586,,,,,1,1,1.45435e-05,1.45435e-05,0,1,0
aggregate,,pathway,,,,path:2,,,,,compound:1121;target:2146,Compound #1121;Target #2146,,,,,1,1,1.32918e-05,1.32918e-05,0,1,0
aggregate,,pathway,,,,path:3,,,,,compound:1121;target:7260,Compound #1121;Target #7260,,,,,1,1,1.32918e-05,1.32918e-05,0,1,0
aggregate,,pathway,,,,path:8,,,,,compound:1243;target:1933,Compound #1243;Target #1933,,,,,1,1,6.7353e-06,6.7353e-06,0,1,0
aggregate,,pathway,,,,path:1,,,,,compound:132;target:2432,Compound #132;Target #2432,,,,,1,1,6.1989e-06,6.1989e-06,0,1,0
aggregate,,pathway,,,,path:5,,,,,compound:1257;target:1933,Compound #1257;Target #1933,,,,,1,1,5.6624e-06,5.6624e-06,0,1,0
aggregate,,pathway,,,,path:7,,,,,compound:876;target:1933,Compound #876;Target #1933,,,,,1,1,5.3048e-06,5.3048e-06,0,1,0
aggregate,,pathway,,,,path:3,,,,,compound:435;target:11486,Compound #435;Target #11486,,,,,1,1,5.126e-06,5.126e-06,0,1,0
aggregate,,pathway,,,,path:4,,,,,compound:965;target:7213,Compound #965;Target #7213,,,,,1,1,4.8876e-06,4.8876e-06,0,1,0
aggregate,,pathway,,,,path:1,,,,,target:13357,Target #13357,,,,,1,1,4.8876e-06,4.8876e-06,0,1,0
aggregate,,pathway,,,,path:5,,,,,compound:278;target:11486,Compound #278;Target #11486,,,,,1,1,4.7684e-06,4.7684e-06,0,1,0
