aggregate_type,feature,display_name,name_source,node_type,node_id,path_features,path_display_features,case_count,occurrence_count,mean_score_drop,max_score_drop,positive_drop_count,near_zero_drop_count,negative_drop_count
pathway,path:2,,,,,compound:1073;target:7213,Compound #1073;Target #7213,1,2,1.75238e-05,1.75238e-05,0,2,0
pathway,path:1,,,,,compound:1073;target:2586,Compound #1073;Target #2586,1,2,1.45435e-05,1.45435e-05,0,2,0
pathway,path:10,,,,,compound:965;target:7213,Compound #965;Target #7213,1,2,4.8876e-06,4.8876e-06,0,2,0
pathway,path:3,,,,,compound:965;target:2586,Compound #965;Target #2586,1,2,2.0266e-06,2.0266e-06,0,2,0
pathway,path:11,,,,,compound:1023;target:7213,Compound #1023;Target #7213,1,2,1.9073e-06,1.9073e-06,0,2,0
pathway,path:12,,,,,compound:1023;target:6478,Compound #1023;Target #6478,1,2,-1.4305e-06,-1.4305e-06,0,2,0
target,target:7213,Target #7213,unmapped_graph_id,target,7213,,,1,1,4.7684e-06,4.7684e-06,0,1,0
target,target:2586,Target #2586,unmapped_graph_id,target,2586,,,1,1,1.9073e-06,1.9073e-06,0,1,0
target,target:6478,Target #6478,unmapped_graph_id,target,6478,,,1,1,1.4305e-06,1.4305e-06,0,1,0
component,compound:1073,Compound #1073,unmapped_graph_id,compound,1073,,,1,1,1.26362e-05,1.26362e-05,0,1,0
component,compound:965,Compound #965,unmapped_graph_id,compound,965,,,1,1,1.192e-07,1.192e-07,0,1,0
component,compound:1023,Compound #1023,unmapped_graph_id,compound,1023,,,1,1,-2.861e-06,-2.861e-06,0,1,0
path,path:2,,,,,compound:1073;target:7213,Compound #1073;Target #7213,1,2,1.75238e-05,1.75238e-05,0,2,0
path,path:1,,,,,compound:1073;target:2586,Compound #1073;Target #2586,1,2,1.45435e-05,1.45435e-05,0,2,0
path,path:10,,,,,compound:965;target:7213,Compound #965;Target #7213,1,2,4.8876e-06,4.8876e-06,0,2,0
path,path:3,,,,,compound:965;target:2586,Compound #965;Target #2586,1,2,2.0266e-06,2.0266e-06,0,2,0
path,path:11,,,,,compound:1023;target:7213,Compound #1023;Target #7213,1,2,1.9073e-06,1.9073e-06,0,2,0
path,path:12,,,,,compound:1023;target:6478,Compound #1023;Target #6478,1,2,-1.4305e-06,-1.4305e-06,0,2,0
node,compound:1073,Compound #1073,unmapped_graph_id,compound,1073,,,1,1,1.26362e-05,1.26362e-05,0,1,0
node,target:7213,Target #7213,unmapped_graph_id,target,7213,,,1,1,4.7684e-06,4.7684e-06,0,1,0
node,target:2586,Target #2586,unmapped_graph_id,target,2586,,,1,1,1.9073e-06,1.9073e-06,0,1,0
node,target:6478,Target #6478,unmapped_graph_id,target,6478,,,1,1,1.4305e-06,1.4305e-06,0,1,0
node,compound:965,Compound #965,unmapped_graph_id,compound,965,,,1,1,1.192e-07,1.192e-07,0,1,0
node,compound:1023,Compound #1023,unmapped_graph_id,compound,1023,,,1,1,-2.861e-06,-2.861e-06,0,1,0
