rank,herb_id,adr_id,herb_latin,adr_pt,source,original_score,priority_score,max_path_score_drop,max_target_score_drop,max_component_score_drop,top_path_features,top_path_text,max_node_score_drop,top_node_feature,top_node_type,evidence_grade,updated_grade_recommendation,manual_review_status,ready_for_strong_evidence_writeup,paper_use,direct_literature_support,literature_record_count,literature_support_candidate_count,verified_literature_count,review_action
1,373,2931,,,pu_xmsat_global_unobserved_pairs,0.9975072741508484,0.0011743903,0.0011743903,0.0011743903,0.0003104806,target:15721,共享靶点：甜根多足蕨（Polypodium glycyrrhiza） → Target #15721 ← Watery diarrhoea,0.0011743903,target:15721,target,,,,False,,False,0,0,0,target_external_evidence_review
2,495,2095,,,pu_xmsat_global_unobserved_pairs,0.9974880218505859,0.0003195405,0.0003195405,5.1856e-06,0.0003134012,compound:821;target:11486,成分介导：荷兰种植番红花（Crocus antalyensis cv） → Compound #821 → Target #11486 ← Dry cough,0.0003134012,compound:821,compound,,,,False,,False,0,0,0,target_external_evidence_review
3,373,4230,,,pu_xmsat_global_unobserved_pairs,0.9977574944496155,0.0003184676,0.0003178716,0.0,0.0003184676,compound:761;target:7802,成分介导：甜根多足蕨（Polypodium glycyrrhiza） → Compound #761 → Target #7802 ← Anorectal discomfort,0.0003184676,compound:761,compound,,,,False,,False,0,0,0,target_external_evidence_review
4,373,1155,,,pu_xmsat_global_unobserved_pairs,0.9973435997962952,0.0002995729,0.0002995729,1.1921e-06,0.0002982616,compound:761;target:19336,成分介导：甜根多足蕨（Polypodium glycyrrhiza） → Compound #761 → Target #19336 ← Sulphaemoglobinaemia,0.0002982616,compound:761,compound,,,,False,,False,0,0,0,target_external_evidence_review
5,495,1810,,,pu_xmsat_global_unobserved_pairs,0.9976300001144409,0.0002631545,0.0002631545,8.941e-07,0.0002619624,compound:821;target:19336,成分介导：荷兰种植番红花（Crocus antalyensis cv） → Compound #821 → Target #19336 ← Proteinuria,0.0002619624,compound:821,compound,,,,False,,False,0,0,0,target_external_evidence_review
6,495,3989,,,pu_xmsat_global_unobserved_pairs,0.998244047164917,0.0002143979,0.0002143979,5.4836e-06,0.0002080798,compound:821;target:2586,成分介导：荷兰种植番红花（Crocus antalyensis cv） → Compound #821 → Target #2586 ← Altered state of consciousness,0.0002080798,compound:821,compound,,,,False,,False,0,0,0,target_external_evidence_review
7,495,4997,,,pu_xmsat_global_unobserved_pairs,0.9981611371040344,0.0002048612,0.0002048612,7.153e-07,0.0002041459,compound:821;target:2586,成分介导：荷兰种植番红花（Crocus antalyensis cv） → Compound #821 → Target #2586 ← Jaundice,0.0002041459,compound:821,compound,,,,False,,False,0,0,0,target_external_evidence_review
8,237,2481,,,pu_xmsat_global_unobserved_pairs,0.9982978701591492,0.0001240373,0.0001240373,0.0001020432,1.99676e-05,compound:1073;target:15692,成分介导：野草莓（Fragaria vesca?L.） → Compound #1073 → Target #15692 ← Leukopenia,0.0001020432,target:15692,target,,,,False,,False,0,0,0,target_external_evidence_review
9,618,2095,,,pu_xmsat_global_unobserved_pairs,0.9974706172943115,4.56572e-05,4.56572e-05,4.8876e-06,4.08292e-05,compound:480;target:11486,成分介导：地钱（Marchantia polymorpha） → Compound #480 → Target #11486 ← Dry cough,4.08292e-05,compound:480,compound,,,,False,,False,0,0,0,target_external_evidence_review
10,618,4759,,,pu_xmsat_global_unobserved_pairs,0.9973564147949219,4.44651e-05,4.44651e-05,1.44839e-05,2.99215e-05,compound:480;target:7213,成分介导：地钱（Marchantia polymorpha） → Compound #480 → Target #7213 ← Essential thrombocythaemia,2.99215e-05,compound:480,compound,,,,False,,False,0,0,0,target_external_evidence_review
11,618,3989,,,pu_xmsat_global_unobserved_pairs,0.997912585735321,3.78489e-05,3.78489e-05,5.3048e-06,3.23653e-05,compound:480;target:1933,成分介导：地钱（Marchantia polymorpha） → Compound #480 → Target #1933 ← Altered state of consciousness,3.23653e-05,compound:480,compound,,,,False,,False,0,0,0,target_external_evidence_review
