run_label,unlabeled_weight,reliable_negative_weight,metric,mean,std,delta_vs_baseline,delta_vs_reference
u0.1 rn0.8,0.100,0.800,auc,0.979932,0.001582,+0.000660,-0.000460
u0.1 rn0.8,0.100,0.800,auprc,0.977368,0.002546,+0.000273,-0.000615
u0.1 rn0.8,0.100,0.800,f1,0.933956,0.004012,+0.002506,-0.000811
u0.1 rn0.8,0.100,0.800,mcc,0.866775,0.006900,+0.004256,-0.001555
u0.2 rn0.8,0.200,0.800,auc,0.980392,0.001528,+0.001121,+0.000000
u0.2 rn0.8,0.200,0.800,auprc,0.977983,0.002393,+0.000888,+0.000000
u0.2 rn0.8,0.200,0.800,f1,0.934767,0.003469,+0.003316,+0.000000
u0.2 rn0.8,0.200,0.800,mcc,0.868331,0.005781,+0.005811,+0.000000
u0.4 rn0.8,0.400,0.800,auc,0.980474,0.001559,+0.001202,+0.000082
u0.4 rn0.8,0.400,0.800,auprc,0.977902,0.002424,+0.000808,-0.000081
u0.4 rn0.8,0.400,0.800,f1,0.934410,0.004860,+0.002959,-0.000357
u0.4 rn0.8,0.400,0.800,mcc,0.867410,0.008046,+0.004890,-0.000921
